name;id
Dried adzuki beans, shelled;UNCTAD-SoP2_Intermediate goods_071332
Dried kidney beans, incl. white pea beans, shel;UNCTAD-SoP2_Intermediate goods_071333
Dried beans, shelled, nes;UNCTAD-SoP2_Intermediate goods_071339
Dried lentils, shelled;UNCTAD-SoP2_Intermediate goods_071340
Dried broad beans and horse beans, shelled;UNCTAD-SoP2_Intermediate goods_071350
Dried leguminous vegetables, shelled, nes;UNCTAD-SoP2_Intermediate goods_071390
Manioc, fresh or dried;UNCTAD-SoP1_Raw materials_071410
Sweet potatoes, fresh or dried;UNCTAD-SoP1_Raw materials_071420
Roots and tubers with high starch content, fres;UNCTAD-SoP1_Raw materials_071490
Coconuts, fresh or dried;UNCTAD-SoP1_Raw materials_080110
Brazil nuts, fresh or dried;UNCTAD-SoP1_Raw materials_080120
Cashew nuts, fresh or dried;UNCTAD-SoP1_Raw materials_080130
Almonds in shell, fresh or dried;UNCTAD-SoP1_Raw materials_080211
Almonds without shells, fresh or dried;UNCTAD-SoP1_Raw materials_080212
Hazlenuts in shell, fresh or dried;UNCTAD-SoP1_Raw materials_080221
Hazlenuts without shells, fresh or dried;UNCTAD-SoP1_Raw materials_080222
Walnuts in shell, fresh or dried;UNCTAD-SoP1_Raw materials_080231
Walnuts without shells, fresh or dried;UNCTAD-SoP1_Raw materials_080232
Chestnuts, fresh or dried;UNCTAD-SoP1_Raw materials_080240
Pistachio, fresh or dried;UNCTAD-SoP1_Raw materials_080250
Other nuts, fresh or dried, nes;UNCTAD-SoP1_Raw materials_080290
Bananas, including plantains, fresh or dried;UNCTAD-SoP1_Raw materials_080300
Dates, fresh or dried;UNCTAD-SoP1_Raw materials_080410
Figs, fresh or dried;UNCTAD-SoP1_Raw materials_080420
Pineapples, fresh or dried;UNCTAD-SoP1_Raw materials_080430
Avocados, fresh or dried;UNCTAD-SoP1_Raw materials_080440
Guavas, mangoes and mangosteens, fresh or dried;UNCTAD-SoP1_Raw materials_080450
Oranges, fresh or dried;UNCTAD-SoP1_Raw materials_080510
Mandarins, clementines, wilkings...etc, fresh o;UNCTAD-SoP1_Raw materials_080520
Lemons and limes, fresh or dried;UNCTAD-SoP1_Raw materials_080530
Grapefruit, fresh or dried;UNCTAD-SoP1_Raw materials_080540
Citrus fruit, fresh or dried, nes;UNCTAD-SoP1_Raw materials_080590
